,A1,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E2
304,2,2,2,2,2,2,2,2,2, 
305,2,2,2,2,2,2,1,2,2,E1_f
306,4,1,2,2,2,2,2,2,2,E1_a
307,2,2,2,2,2,1,1,2,1,6
308,2,2,2,2,2,2,1,2,2,E1_f
309,2,1,2,2,2,2,2,1,2,1
310,5,2,2,2,2,2,1,1,2,7
311,2,2,2,2,2,2,1,1,-98,6
312,2,1,2,2,2,2,2,2,2,E1_a
313,2,1,2,2,2,2,2,2,2,E1_a
314,2,2,2,2,2,1,1,2,1,8
315,2,2,2,2,2,2,1,1,2,6
316,2,1,2,1,2,1,2,2,2,5
317,3,2,2,2,2,2,1,2,2,E1_f
318,5,1,2,2,2,2,1,2,2,6
319,2,2,2,2,1,1,2,2,2,4
320,1,1,2,2,2,2,2,2,2,E1_a
321,2,1,2,2,2,2,2,1,1,1
322,2,2,2,2,2,2,2,2,-99, 
323,2,1,2,2,2,2,2,1,2,1
324,4,2,2,2,2,2,1,2,2,E1_f
325,4,1,2,2,2,2,2,1,2,1
326,4,2,2,2,2,2,1,1,2,7
327,3,2,2,2,2,2,1,1,2,6
328,4,2,2,2,2,2,1,2,2,E1_f
329,1,1,2,2,2,2,2,2,2,E1_a
330,4,2,2,2,2,2,1,1,2,6
331,1,2,2,2,2,2,1,1,1,6
332,4,1,2,2,2,2,2,1,2,7
333,2,1,2,2,2,2,2,2,2,E1_a
334,2,2,2,2,2,2,1,2,2,E1_f
335,4,2,2,1,2,1,2,1,1,8
336,1,2,2,2,2,1,1,1,2,6
337,2,2,2,2,2,1,1,2,2,6
338,2,1,2,2,2,2,2,1,2,1
339,4,1,1,2,2,2,2,2,2,2
340,2,1,2,2,2,2,2,1,2,1
341,1,2,2,2,2,2,1,2,1,8
342,2,2,2,2,2,2,1,2,2,E1_f
343,2,1,2,2,2,2,2,1,2,7
344,2,2,2,2,2,2,1,1,2,6
345,2,2,2,2,2,2,1,2,2,E1_f
346,2,2,1,2,2,2,1,1,1,6
347,2,2,2,2,2,2,1,1,-98,6
348,4,1,2,2,2,2,2,2,2,E1_a
349,2,2,2,2,2,2,1,1,2,6
350,2,1,2,2,2,2,2,2,2,E1_a
351,4,1,2,2,2,2,2,1,2,1
352,1,2,2,2,2,2,1,2,2,E1_f
353,4,2,2,2,2,1,2,2,2,E1_e
354,2,2,2,2,2,2,1,2,2,E1_f
355,5,2,2,2,1,-98,2,1,-98,7
356,2,2,2,2,2,2,1,1,1,6
357,2,1,2,2,2,2,2,1,-99,1
358,2,1,2,2,2,2,1,1,-98,6
